"Assembly","Session","Date","Word","PDF"
"19th Assembly"," 2nd Session","2021-12-9","https://www.ntassembly.ca/sites/assembly/files/hn211209_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn211209.pdf"
"19th Assembly"," 2nd Session","2021-12-8","https://www.ntassembly.ca/sites/assembly/files/hn211208_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn211208.pdf"
"19th Assembly"," 2nd Session","2021-12-7","https://www.ntassembly.ca/sites/assembly/files/hn211207_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn211207.pdf"
"19th Assembly"," 2nd Session","2021-12-2","https://www.ntassembly.ca/sites/assembly/files/hn211202_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn211202.pdf"
"19th Assembly"," 2nd Session","2021-12-1","https://www.ntassembly.ca/sites/assembly/files/hn211201.docx","https://www.ntassembly.ca/sites/assembly/files/hn211201.pdf"
"19th Assembly"," 2nd Session","2021-11-30","https://www.ntassembly.ca/sites/assembly/files/hn211130.docx","https://www.ntassembly.ca/sites/assembly/files/hn211130.pdf"
"19th Assembly"," 2nd Session","2021-11-29","https://www.ntassembly.ca/sites/assembly/files/hn211129.docx","https://www.ntassembly.ca/sites/assembly/files/hn211129.pdf"
"19th Assembly"," 2nd Session","2021-11-26","https://www.ntassembly.ca/sites/assembly/files/hn211126_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn211126.pdf"
"19th Assembly"," 2nd Session","2021-11-25","https://www.ntassembly.ca/sites/assembly/files/hn211125_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn211125.pdf"
"19th Assembly"," 2nd Session","2021-11-24","https://www.ntassembly.ca/sites/assembly/files/hn211124_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn211124.pdf"
"19th Assembly"," 2nd Session","2021-11-23","https://www.ntassembly.ca/sites/assembly/files/hn211123.docx","https://www.ntassembly.ca/sites/assembly/files/hn211123.pdf"
"19th Assembly"," 2nd Session","2021-11-22","https://www.ntassembly.ca/sites/assembly/files/hn211122.docx","https://www.ntassembly.ca/sites/assembly/files/hn211122.pdf"
"19th Assembly"," 2nd Session","2021-6-4","https://www.ntassembly.ca/sites/assembly/files/hn210604.docx","https://www.ntassembly.ca/sites/assembly/files/hn210604.pdf"
"19th Assembly"," 2nd Session","2021-6-3","https://www.ntassembly.ca/sites/assembly/files/hn210603.docx","https://www.ntassembly.ca/sites/assembly/files/hn210603.pdf"
"19th Assembly"," 2nd Session","2021-6-2","https://www.ntassembly.ca/sites/assembly/files/hn210602.docx","https://www.ntassembly.ca/sites/assembly/files/hn210602.pdf"
"19th Assembly"," 2nd Session","2021-6-1","https://www.ntassembly.ca/sites/assembly/files/hn210601.docx","https://www.ntassembly.ca/sites/assembly/files/hn210601.pdf"
"19th Assembly"," 2nd Session","2021-5-31","https://www.ntassembly.ca/sites/assembly/files/hn210531.docx","https://www.ntassembly.ca/sites/assembly/files/hn210531.pdf"
"19th Assembly"," 2nd Session","2021-5-28","https://www.ntassembly.ca/sites/assembly/files/hn210528_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn210528.pdf"
"19th Assembly"," 2nd Session","2021-5-27","https://www.ntassembly.ca/sites/assembly/files/hn210527_1.docx","https://www.ntassembly.ca/sites/assembly/files/hn210527.pdf"
"19th Assembly"," 2nd Session","2021-3-31","https://www.ntassembly.ca/sites/assembly/files/hn210331.docx","https://www.ntassembly.ca/sites/assembly/files/hn210331.pdf"
"19th Assembly"," 2nd Session","2021-3-30","https://www.ntassembly.ca/sites/assembly/files/hn210330.docx","https://www.ntassembly.ca/sites/assembly/files/hn210330.pdf"
"19th Assembly"," 2nd Session","2021-3-29","https://www.ntassembly.ca/sites/assembly/files/hn210329.docx","https://www.ntassembly.ca/sites/assembly/files/hn210329.pdf"
"19th Assembly"," 2nd Session","2021-3-12","https://www.ntassembly.ca/sites/assembly/files/hn210312.docx","https://www.ntassembly.ca/sites/assembly/files/hn210312.pdf"
"19th Assembly"," 2nd Session","2021-3-11","https://www.ntassembly.ca/sites/assembly/files/hn210311.docx","https://www.ntassembly.ca/sites/assembly/files/hn210311.pdf"
"19th Assembly"," 2nd Session","2021-3-10","https://www.ntassembly.ca/sites/assembly/files/hn210310.docx","https://www.ntassembly.ca/sites/assembly/files/hn210310.pdf"
"19th Assembly"," 1st Session","2019-12-12","https://www.ntassembly.ca/sites/assembly/files/hn191212.docx","https://www.ntassembly.ca/sites/assembly/files/hn191212.pdf"
"19th Assembly"," 1st Session","2019-12-11","https://www.ntassembly.ca/sites/assembly/files/hn191211_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn191211.pdf"
"19th Assembly"," 1st Session","2019-12-10","https://www.ntassembly.ca/sites/assembly/files/hn191210.docx","https://www.ntassembly.ca/sites/assembly/files/hn191210.pdf"
"19th Assembly"," 1st Session","2019-10-25","https://www.ntassembly.ca/sites/assembly/files/hn191025.docx","https://www.ntassembly.ca/sites/assembly/files/hn191025.pdf"
"19th Assembly"," 0th Session","2019-10-24","https://www.ntassembly.ca/sites/assembly/files/tlc191024.docx","https://www.ntassembly.ca/sites/assembly/files/tlc191024.pdf"
"19th Assembly"," 0th Session","2019-10-18","https://www.ntassembly.ca/sites/assembly/files/tlc191018.docx","https://www.ntassembly.ca/sites/assembly/files/tlc191018.pdf"
