"Session","Session Date","Session Link"
"4th Assembly 每 3rd Session","20170919","https://assembly.nu.ca/sites/default/files/Hansard_20170919.pdf"
"4th Assembly 每 3rd Session","20170918","https://assembly.nu.ca/sites/default/files/Hansard_20170918.pdf"
"4th Assembly 每 3rd Session","20170915","https://assembly.nu.ca/sites/default/files/Hansard_20170915.pdf"
"4th Assembly 每 3rd Session","20170914","https://assembly.nu.ca/sites/default/files/Hansard_20170914.pdf"
"4th Assembly 每 3rd Session","20170913","https://assembly.nu.ca/sites/default/files/Hansard_20170913.pdf"
"4th Assembly 每 3rd Session","20170912","https://assembly.nu.ca/sites/default/files/Hansard_20170912.pdf"
"4th Assembly 每 3rd Session","20170608","https://assembly.nu.ca/sites/default/files/Hansard_20170608.pdf"
"4th Assembly 每 3rd Session","20170607","https://assembly.nu.ca/sites/default/files/Hansard_20170607.pdf"
"4th Assembly 每 3rd Session","20170606","https://assembly.nu.ca/sites/default/files/Hansard_20170606.pdf"
"4th Assembly 每 3rd Session","20170605","https://assembly.nu.ca/sites/default/files/Hansard_20170605.pdf"
"4th Assembly 每 3rd Session","20170221","https://assembly.nu.ca/sites/default/files/Hansard_20170221.pdf"
"4th Assembly 每 3rd Session","20161108","https://assembly.nu.ca/sites/default/files/Hansard_20161108.pdf"
"4th Assembly 每 3rd Session","20161107","https://assembly.nu.ca/sites/default/files/Hansard_20161107.pdf"
"4th Assembly 每 3rd Session","20161104","https://assembly.nu.ca/sites/default/files/Hansard_20161104.pdf"
"4th Assembly 每 3rd Session","20161103","https://assembly.nu.ca/sites/default/files/Hansard_20161103.pdf"
"4th Assembly 每 3rd Session","20161102","https://assembly.nu.ca/sites/default/files/Hansard_20161102.pdf"
"4th Assembly 每 3rd Session","20161101","https://assembly.nu.ca/sites/default/files/Hansard_20161101.pdf"
"4th Assembly 每 3rd Session","20161031","https://assembly.nu.ca/sites/default/files/Hansard_20161031.pdf"
"4th Assembly 每 3rd Session","20161028","https://assembly.nu.ca/sites/default/files/Hansard_20161028.pdf"
"4th Assembly 每 3rd Session","20161027","https://assembly.nu.ca/sites/default/files/Hansard_20161027.pdf"
"4th Assembly 每 3rd Session","20160310","https://assembly.nu.ca/sites/default/files/Hansard_20160310.pdf"
"4th Assembly 每 3rd Session","20160309","https://assembly.nu.ca/sites/default/files/Hansard_20160309.pdf"
"4th Assembly 每 3rd Session","20160308","https://assembly.nu.ca/sites/default/files/Hansard_20160308.pdf"
"4th Assembly 每 3rd Session","20160307","https://assembly.nu.ca/sites/default/files/Hansard_20160307.pdf"
