"Session","Session Date","Session Link"
"1st Assembly - 6th Session","20031205","https://assembly.nu.ca/sites/default/files/Hansard_20031205.pdf"
"1st Assembly - 6th Session","20031204","https://assembly.nu.ca/sites/default/files/Hansard_20031204.pdf"
"1st Assembly - 6th Session","20031203","https://assembly.nu.ca/sites/default/files/Hansard_20031203.pdf"
"1st Assembly - 6th Session","20031202","https://assembly.nu.ca/sites/default/files/Hansard_20031202.pdf"
"1st Assembly - 6th Session","20031105","https://assembly.nu.ca/sites/default/files/Hansard_20031105.pdf"
"1st Assembly - 6th Session","20031104","https://assembly.nu.ca/sites/default/files/Hansard_20031104.pdf"
"1st Assembly - 6th Session","20031103","https://assembly.nu.ca/sites/default/files/Hansard_20031103.pdf"
"1st Assembly - 6th Session","20031031","https://assembly.nu.ca/sites/default/files/Hansard_20031031.pdf"
"1st Assembly - 6th Session","20031030","https://assembly.nu.ca/sites/default/files/Hansard_20031030.pdf"
"1st Assembly - 6th Session","20031029","https://assembly.nu.ca/sites/default/files/Hansard_20031029.pdf"
"1st Assembly - 6th Session","20031028","https://assembly.nu.ca/sites/default/files/Hansard_20031028.pdf"
"1st Assembly - 6th Session","20031027","https://assembly.nu.ca/sites/default/files/Hansard_20031027.pdf"
"1st Assembly - 6th Session","20031024","https://assembly.nu.ca/sites/default/files/Hansard_20031024.pdf"
"1st Assembly - 6th Session","20031023","https://assembly.nu.ca/sites/default/files/Hansard_20031023.pdf"
"1st Assembly - 6th Session","20031022","https://assembly.nu.ca/sites/default/files/Hansard_20031022.pdf"
"1st Assembly - 6th Session","20031021","https://assembly.nu.ca/sites/default/files/Hansard_20031021.pdf"
"1st Assembly - 6th Session","20030606","https://assembly.nu.ca/sites/default/files/Hansard_20030606.pdf"
"1st Assembly - 6th Session","20030605","https://assembly.nu.ca/sites/default/files/Hansard_20030605.pdf"
"1st Assembly - 6th Session","20030604","https://assembly.nu.ca/sites/default/files/Hansard_20030604.pdf"
"1st Assembly - 6th Session","20030603","https://assembly.nu.ca/sites/default/files/Hansard_20030603_0.pdf"
"1st Assembly - 6th Session","20030328","https://assembly.nu.ca/sites/default/files/Hansard_20030328.pdf"
"1st Assembly - 6th Session","20030327","https://assembly.nu.ca/sites/default/files/Hansard_20030327.pdf"
"1st Assembly - 6th Session","20030326","https://assembly.nu.ca/sites/default/files/Hansard_20030326.pdf"
"1st Assembly - 6th Session","20030325","https://assembly.nu.ca/sites/default/files/Hansard_20030325.pdf"
"1st Assembly - 6th Session","20030324","https://assembly.nu.ca/sites/default/files/Hansard_20030324.pdf"
"1st Assembly - 6th Session","20030321","https://assembly.nu.ca/sites/default/files/Hansard_20030321.pdf"
"1st Assembly - 6th Session","20030320","https://assembly.nu.ca/sites/default/files/Hansard_20030320.pdf"
"1st Assembly - 6th Session","20030319","https://assembly.nu.ca/sites/default/files/Hansard_20030319.pdf"
"1st Assembly - 6th Session","20030318","https://assembly.nu.ca/sites/default/files/Hansard_20030318.pdf"
"1st Assembly - 6th Session","20030317","https://assembly.nu.ca/sites/default/files/Hansard_20030317.pdf"
"1st Assembly - 6th Session","20030314","https://assembly.nu.ca/sites/default/files/Hansard_20030314.pdf"
"1st Assembly - 6th Session","20030313","https://assembly.nu.ca/sites/default/files/Hansard_20030313.pdf"
"1st Assembly - 6th Session","20030312","https://assembly.nu.ca/sites/default/files/Hansard_20030312.pdf"
