"Session","Session Date","Session Link"
"2nd Assembly - 4th Session","20080918","https://assembly.nu.ca/sites/default/files/Hansard_20080918.pdf"
"2nd Assembly - 4th Session","20080917","https://assembly.nu.ca/sites/default/files/Hansard_20080917.pdf"
"2nd Assembly - 4th Session","20080916","https://assembly.nu.ca/sites/default/files/Hansard_20080916.pdf"
"2nd Assembly - 4th Session","20080915","https://assembly.nu.ca/sites/default/files/Hansard_20080915.pdf"
"2nd Assembly - 4th Session","20080912","https://assembly.nu.ca/sites/default/files/Hansard_20080912.pdf"
"2nd Assembly - 4th Session","20080911","https://assembly.nu.ca/sites/default/files/Hansard_20080911.pdf"
"2nd Assembly - 4th Session","20080910","https://assembly.nu.ca/sites/default/files/Hansard_20080910.pdf"
"2nd Assembly - 4th Session","20080909","https://assembly.nu.ca/sites/default/files/Hansard_20080909.pdf"
"2nd Assembly - 4th Session","20080604","https://assembly.nu.ca/sites/default/files/Hansard_20080604.pdf"
"2nd Assembly - 4th Session","20080603","https://assembly.nu.ca/sites/default/files/Hansard_20080603.pdf"
"2nd Assembly - 4th Session","20080602","https://assembly.nu.ca/sites/default/files/Hansard_20080602.pdf"
"2nd Assembly - 4th Session","20080530","https://assembly.nu.ca/sites/default/files/Hansard_20080530.pdf"
"2nd Assembly - 4th Session","20080529","https://assembly.nu.ca/sites/default/files/Hansard_20080529.pdf"
"2nd Assembly - 4th Session","20080528","https://assembly.nu.ca/sites/default/files/Hansard_20080528.pdf"
"2nd Assembly - 4th Session","20080527","https://assembly.nu.ca/sites/default/files/Hansard_20080527.pdf"
"2nd Assembly - 4th Session","20080526","https://assembly.nu.ca/sites/default/files/Hansard_20080526.pdf"
"2nd Assembly - 4th Session","20080523","https://assembly.nu.ca/sites/default/files/Hansard_20080523.pdf"
"2nd Assembly - 4th Session","20080522","https://assembly.nu.ca/sites/default/files/Hansard_20080522.pdf"
"2nd Assembly - 4th Session","20080314","https://assembly.nu.ca/sites/default/files/Hansard_20080314.pdf"
"2nd Assembly - 4th Session","20080313","https://assembly.nu.ca/sites/default/files/NLF_20080313_Final.pdf"
"2nd Assembly - 4th Session","20080312","https://assembly.nu.ca/sites/default/files/Hansard_20080312.pdf"
"2nd Assembly - 4th Session","20080311","https://assembly.nu.ca/sites/default/files/Hansard_20080311.pdf"
"2nd Assembly - 4th Session","20080310","https://assembly.nu.ca/sites/default/files/Hansard_20080310.pdf"
"2nd Assembly - 4th Session","20080307","https://assembly.nu.ca/sites/default/files/Hansard_20080307.pdf"
"2nd Assembly - 4th Session","20080306","https://assembly.nu.ca/sites/default/files/Hansard_20080306.pdf"
"2nd Assembly - 4th Session","20080305","https://assembly.nu.ca/sites/default/files/Hansard_20080305.pdf"
"2nd Assembly - 4th Session","20080304","https://assembly.nu.ca/sites/default/files/Hansard_20080304.pdf"
"2nd Assembly - 4th Session","20080303","https://assembly.nu.ca/sites/default/files/Hansard_20080303.pdf"
"2nd Assembly - 4th Session","20080229","https://assembly.nu.ca/sites/default/files/Hansard_20080229.pdf"
"2nd Assembly - 4th Session","20080228","https://assembly.nu.ca/sites/default/files/Hansard_20080228.pdf"
"2nd Assembly - 4th Session","20080227","https://assembly.nu.ca/sites/default/files/Hansard_20080227.pdf"
"2nd Assembly - 4th Session","20080226","https://assembly.nu.ca/sites/default/files/Hansard_20080226.pdf"
"2nd Assembly - 4th Session","20080225","https://assembly.nu.ca/sites/default/files/Hansard_20080225.pdf"
"2nd Assembly - 4th Session","20080222","https://assembly.nu.ca/sites/default/files/Hansard_20080222.pdf"
"2nd Assembly - 4th Session","20080221","https://assembly.nu.ca/sites/default/files/Hansard_20080221.pdf"
"2nd Assembly - 4th Session","20080220","https://assembly.nu.ca/sites/default/files/Hansard_20080220.pdf"
"2nd Assembly - 4th Session","20080219","https://assembly.nu.ca/sites/default/files/Hansard_20080219.pdf"
"2nd Assembly - 4th Session","20071108","https://assembly.nu.ca/sites/default/files/Hansard_20071108.pdf"
"2nd Assembly - 4th Session","20071107","https://assembly.nu.ca/sites/default/files/Hansard_20071107.pdf"
"2nd Assembly - 4th Session","20071106","https://assembly.nu.ca/sites/default/files/Hansard_20071106.pdf"
"2nd Assembly - 4th Session","20071105","https://assembly.nu.ca/sites/default/files/Hansard_20071105.pdf"
"2nd Assembly - 4th Session","20071102","https://assembly.nu.ca/sites/default/files/Hansard_20071102.pdf"
"2nd Assembly - 4th Session","20071101","https://assembly.nu.ca/sites/default/files/Hansard_20071101.pdf"
"2nd Assembly - 4th Session","20071031","https://assembly.nu.ca/sites/default/files/Hansard_20071031.pdf"
"2nd Assembly - 4th Session","20071030","https://assembly.nu.ca/sites/default/files/Hansard_20071030.pdf"
"2nd Assembly - 4th Session","20071029","https://assembly.nu.ca/sites/default/files/Hansard_20071029.pdf"
"2nd Assembly - 4th Session","20071026","https://assembly.nu.ca/sites/default/files/Hansard_20071026.pdf"
"2nd Assembly - 4th Session","20071025","https://assembly.nu.ca/sites/default/files/Hansard_20071025.pdf"
"2nd Assembly - 4th Session","20071024","https://assembly.nu.ca/sites/default/files/Hansard_20071024.pdf"
"2nd Assembly - 4th Session","20071023","https://assembly.nu.ca/sites/default/files/Hansard_20071023.pdf"
"2nd Assembly - 4th Session","20070917","https://assembly.nu.ca/sites/default/files/Hansard_20070917.pdf"
"2nd Assembly - 4th Session","20070606","https://assembly.nu.ca/sites/default/files/Hansard_20070606.pdf"
"2nd Assembly - 4th Session","20070605","https://assembly.nu.ca/sites/default/files/Hansard_20070605.pdf"
"2nd Assembly - 4th Session","20070604","https://assembly.nu.ca/sites/default/files/Hansard_20070604.pdf"
"2nd Assembly - 4th Session","20070601","https://assembly.nu.ca/sites/default/files/Hansard_20070601.pdf"
"2nd Assembly - 4th Session","20070531","https://assembly.nu.ca/sites/default/files/Hansard_20070531.pdf"
"2nd Assembly - 4th Session","20070530","https://assembly.nu.ca/sites/default/files/Hansard_20070530.pdf"
"2nd Assembly - 4th Session","20070529","https://assembly.nu.ca/sites/default/files/Hansard_20070529.pdf"
"2nd Assembly - 4th Session","20070329","https://assembly.nu.ca/sites/default/files/Hansard_20070329.pdf"
"2nd Assembly - 4th Session","20070328","https://assembly.nu.ca/sites/default/files/Hansard_20070328.pdf"
"2nd Assembly - 4th Session","20070327","https://assembly.nu.ca/sites/default/files/Hansard_20070327.pdf"
"2nd Assembly - 4th Session","20070326","https://assembly.nu.ca/sites/default/files/Hansard_20070326.pdf"
