"Session","Session Date","Session Link"
"3rd Assembly - 3rd Session","20130917","https://assembly.nu.ca/sites/default/files/Hansard_20130917.pdf"
"3rd Assembly - 3rd Session","20130916","https://assembly.nu.ca/sites/default/files/Hansard_20130916.pdf"
"3rd Assembly - 3rd Session","20130913","https://assembly.nu.ca/sites/default/files/Hansard_20130913.pdf"
"3rd Assembly - 3rd Session","20130912","https://assembly.nu.ca/sites/default/files/Hansard_20130912.pdf"
"3rd Assembly - 3rd Session","20130911","https://assembly.nu.ca/sites/default/files/Hansard_20130911.pdf"
"3rd Assembly - 3rd Session","20130910","https://assembly.nu.ca/sites/default/files/Hansard_20130910.pdf"
"3rd Assembly - 3rd Session","20130909","https://assembly.nu.ca/sites/default/files/Hansard_20130909.pdf"
"3rd Assembly - 3rd Session","20130906","https://assembly.nu.ca/sites/default/files/Hansard_20130906.pdf"
"3rd Assembly - 3rd Session","20130905","https://assembly.nu.ca/sites/default/files/Hansard_20130905.pdf"
"3rd Assembly - 3rd Session","20130516","https://assembly.nu.ca/sites/default/files/Hansard_20130516_0.pdf"
"3rd Assembly - 3rd Session","20130515","https://assembly.nu.ca/sites/default/files/Hansard_20130515.pdf"
"3rd Assembly - 3rd Session","20130514","https://assembly.nu.ca/sites/default/files/Hansard_20130514.pdf"
"3rd Assembly - 3rd Session","20130513","https://assembly.nu.ca/sites/default/files/Hansard_20130513.pdf"
"3rd Assembly - 3rd Session","20130510","https://assembly.nu.ca/sites/default/files/Hansard_20130510.pdf"
"3rd Assembly - 3rd Session","20130509","https://assembly.nu.ca/sites/default/files/Hansard_20130509.pdf"
"3rd Assembly - 3rd Session","20130508","https://assembly.nu.ca/sites/default/files/Hansard_20130508.pdf"
"3rd Assembly - 3rd Session","20130507","https://assembly.nu.ca/sites/default/files/Hansard_20130507.pdf"
"3rd Assembly - 3rd Session","20130319","https://assembly.nu.ca/sites/default/files/Hansard_20130319.pdf"
"3rd Assembly - 3rd Session","20130318","https://assembly.nu.ca/sites/default/files/Hansard_20130318.pdf"
"3rd Assembly - 3rd Session","20130315","https://assembly.nu.ca/sites/default/files/Hansard_20130315.pdf"
"3rd Assembly - 3rd Session","20130314","https://assembly.nu.ca/sites/default/files/Hansard_20130314.pdf"
"3rd Assembly - 3rd Session","20130313","https://assembly.nu.ca/sites/default/files/Hansard_20130313.doc"
"3rd Assembly - 3rd Session","20130312","https://assembly.nu.ca/sites/default/files/Hansard_20130312.pdf"
"3rd Assembly - 3rd Session","20130311","https://assembly.nu.ca/sites/default/files/Hansard_20130311.pdf"
"3rd Assembly - 3rd Session","20130308","https://assembly.nu.ca/sites/default/files/Hansard_20130308.pdf"
"3rd Assembly - 3rd Session","20130307","https://assembly.nu.ca/sites/default/files/Hansard_20130307.pdf"
"3rd Assembly - 3rd Session","20130306","https://assembly.nu.ca/sites/default/files/Hansard_20130306.pdf"
"3rd Assembly - 3rd Session","20130305","https://assembly.nu.ca/sites/default/files/Hansard_20130305.pdf"
"3rd Assembly - 3rd Session","20130304","https://assembly.nu.ca/sites/default/files/Hansard_20130304_0.pdf"
"3rd Assembly - 3rd Session","20130301","https://assembly.nu.ca/sites/default/files/Hansard_20130301.pdf"
"3rd Assembly - 3rd Session","20130228","https://assembly.nu.ca/sites/default/files/Hansard_20130228.pdf"
"3rd Assembly - 3rd Session","20130227","https://assembly.nu.ca/sites/default/files/Hansard_20130227.pdf"
"3rd Assembly - 3rd Session","20130226","https://assembly.nu.ca/sites/default/files/Hansard_20130226.pdf"
"3rd Assembly - 3rd Session","20121105","https://assembly.nu.ca/sites/default/files/Hansard_20121105.pdf"
"3rd Assembly - 3rd Session","20121102","https://assembly.nu.ca/sites/default/files/Hansard_20121102.pdf"
"3rd Assembly - 3rd Session","20121101","https://assembly.nu.ca/sites/default/files/Hansard_20121101.pdf"
"3rd Assembly - 3rd Session","20121031","https://assembly.nu.ca/sites/default/files/Hansard_20121031.pdf"
"3rd Assembly - 3rd Session","20121030","https://assembly.nu.ca/sites/default/files/Hansard_20121030.pdf"
"3rd Assembly - 3rd Session","20121029","https://assembly.nu.ca/sites/default/files/Hansard_20121029.pdf"
"3rd Assembly - 3rd Session","20121026","https://assembly.nu.ca/sites/default/files/Hansard_20121026.pdf"
"3rd Assembly - 3rd Session","20121025","https://assembly.nu.ca/sites/default/files/Hansard_20121025.pdf"
"3rd Assembly - 3rd Session","20121024","https://assembly.nu.ca/sites/default/files/Hansard_20121024.pdf"
"3rd Assembly - 3rd Session","20121023","https://assembly.nu.ca/sites/default/files/Hansard_20121023.pdf"
"3rd Assembly - 3rd Session","20120608","https://assembly.nu.ca/sites/default/files/Hansard_20120608.pdf"
"3rd Assembly - 3rd Session","20120607","https://assembly.nu.ca/sites/default/files/Hansard_20120607.pdf"
"3rd Assembly - 3rd Session","20120606","https://assembly.nu.ca/sites/default/files/Hansard_20120606.pdf"
"3rd Assembly - 3rd Session","20120605","https://assembly.nu.ca/sites/default/files/Hansard_20120605.pdf"
"3rd Assembly - 3rd Session","20120604","https://assembly.nu.ca/sites/default/files/Hansard_20120604.pdf"
"3rd Assembly - 3rd Session","20120601","https://assembly.nu.ca/sites/default/files/Hansard_20120601.pdf"
"3rd Assembly - 3rd Session","20120531","https://assembly.nu.ca/sites/default/files/Hansard_20120531.pdf"
"3rd Assembly - 3rd Session","20120530","https://assembly.nu.ca/sites/default/files/Hansard_20120530.pdf"
"3rd Assembly - 3rd Session","20120529","https://assembly.nu.ca/sites/default/files/Hansard_20120529.pdf"
"3rd Assembly - 3rd Session","20120502","https://assembly.nu.ca/sites/default/files/Hansard_20120502.pdf"
"3rd Assembly - 3rd Session","20120308","https://assembly.nu.ca/sites/default/files/Hansard_20120308.pdf"
"3rd Assembly - 3rd Session","20120307","https://assembly.nu.ca/sites/default/files/Hansard_20120307_0.pdf"
"3rd Assembly - 3rd Session","20120306","https://assembly.nu.ca/sites/default/files/Hansard_20120306.pdf"
"3rd Assembly - 3rd Session","20120305","https://assembly.nu.ca/sites/default/files/Hansard_20120305.pdf"
"3rd Assembly - 3rd Session","20120302","https://assembly.nu.ca/sites/default/files/Hansard_20120302_0.pdf"
"3rd Assembly - 3rd Session","20120301","https://assembly.nu.ca/sites/default/files/Hansard_20120301.pdf"
"3rd Assembly - 3rd Session","20120229","https://assembly.nu.ca/sites/default/files/Hansard_20120229.pdf"
"3rd Assembly - 3rd Session","20120228","https://assembly.nu.ca/sites/default/files/Hansard_20120228.pdf"
"3rd Assembly - 3rd Session","20120227","https://assembly.nu.ca/sites/default/files/Hansard_20120227.pdf"
"3rd Assembly - 3rd Session","20120224","https://assembly.nu.ca/sites/default/files/Hansard_20120224.pdf"
"3rd Assembly - 3rd Session","20120223","https://assembly.nu.ca/sites/default/files/Hansard_20120223.pdf"
"3rd Assembly - 3rd Session","20120222","https://assembly.nu.ca/sites/default/files/Hansard_20120222.pdf"
"3rd Assembly - 3rd Session","20120221","https://assembly.nu.ca/sites/default/files/Hansard_20120221.pdf"
"3rd Assembly - 3rd Session","20111031","https://assembly.nu.ca/sites/default/files/Hansard_20111031.pdf"
"3rd Assembly - 3rd Session","20111028","https://assembly.nu.ca/sites/default/files/Hansard_20111028.pdf"
"3rd Assembly - 3rd Session","20111027","https://assembly.nu.ca/sites/default/files/Hansard_20111027.pdf"
"3rd Assembly - 3rd Session","20111026","https://assembly.nu.ca/sites/default/files/Hansard_20111026.pdf"
"3rd Assembly - 3rd Session","20201110","https://assembly.nu.ca/sites/default/files/Full%20Caucus%2020111025%20Final.pdf"
"3rd Assembly - 3rd Session","20111024","https://assembly.nu.ca/sites/default/files/Hansard_20111024.pdf"
"3rd Assembly - 3rd Session","20111021","https://assembly.nu.ca/sites/default/files/Hansard_20111021.pdf"
"3rd Assembly - 3rd Session","20111020","https://assembly.nu.ca/sites/default/files/Hansard_20111020.pdf"
"3rd Assembly - 3rd Session","20111019","https://assembly.nu.ca/sites/default/files/Hansard_20111019_0.pdf"
"3rd Assembly - 3rd Session","20111018","https://assembly.nu.ca/sites/default/files/Hansard_20111018.pdf"
"3rd Assembly - 3rd Session","20110928","https://assembly.nu.ca/sites/default/files/20110928%20Nunavut%20Leadership%20Forum_0.pdf"
"3rd Assembly - 3rd Session","20110609","https://assembly.nu.ca/sites/default/files/Hansard_20110609_0.pdf"
"3rd Assembly - 3rd Session","20110608","https://assembly.nu.ca/sites/default/files/Hansard_20110608_0.pdf"
"3rd Assembly - 3rd Session","20110607","https://assembly.nu.ca/sites/default/files/Hansard_20110607_0.pdf"
