"Date_Long","Date_Short","MHT","PDF"
"December 2, 2021","2021-12-02","https://yukonassembly.ca/sites/default/files/hansard/35-1-42.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-42.pdf"
"December 1, 2021","2021-12-01","https://yukonassembly.ca/sites/default/files/hansard/35-1-41.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-41.pdf"
"November 30, 2021","2021-11-30","https://yukonassembly.ca/sites/default/files/hansard/35-1-40.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-40.pdf"
"November 29, 2021","2021-11-29","https://yukonassembly.ca/sites/default/files/hansard/35-1-39.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-39.pdf"
"November 25, 2021","2021-11-25","https://yukonassembly.ca/sites/default/files/hansard/35-1-38.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-38.pdf"
"November 24, 2021","2021-11-24","https://yukonassembly.ca/sites/default/files/hansard/35-1-37.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-37.pdf"
"November 23, 2021","2021-11-23","https://yukonassembly.ca/sites/default/files/hansard/35-1-36.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-36.pdf"
"November 22, 2021","2021-11-22","https://yukonassembly.ca/sites/default/files/hansard/35-1-35.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-35.pdf"
"November 18, 2021","2021-11-18","https://yukonassembly.ca/sites/default/files/hansard/35-1-34.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-34.pdf"
"November 17, 2021","2021-11-17","https://yukonassembly.ca/sites/default/files/hansard/35-1-33.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-33.pdf"
"November 16, 2021","2021-11-16","https://yukonassembly.ca/sites/default/files/hansard/35-1-32.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-32.pdf"
"November 15, 2021","2021-11-15","https://yukonassembly.ca/sites/default/files/hansard/35-1-31.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-31.pdf"
"November 10, 2021","2021-11-10","https://yukonassembly.ca/sites/default/files/hansard/35-1-30.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-30.pdf"
